learner_id,gender,age_group,state_of_origin,state_of_residence,education_level,employment_status,device_access,primary_device,prior_tech_experience,monthly_income_band,registration_source,region_of_origin,region_of_residence,internet_quality
LRN0010890,Female,18-24,Kaduna,Kaduna,Secondary School,Self-Employed,Yes,Mobile Phone,Beginner,<50k,Social Media,North West,North West,Poor
LRN0010891,Male,18-24,Lagos,Abia,Undergraduate,Employed,Yes,Laptop,Intermediate,<50k,Partner Organisation,South West,South East,Good
LRN0010892,Female,25-34,Anambra,Plateau,Secondary School,Self-Employed,Yes,Mobile Phone,Beginner,100k-250k,Social Media,South East,North Central,Moderate
LRN0010893,Male,25-34,Kaduna,Osun,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,North West,South West,Good
LRN0010894,Female,18-24,Delta,Katsina,Graduate,Unemployed,Yes,Laptop,Intermediate,<50k,Campus Outreach,South South,North West,Moderate
LRN0010895,Male,35-44,Niger,Rivers,Undergraduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Referral,North Central,South South,Poor
LRN0010896,Male,25-34,FCT,Benue,Undergraduate,Employed,No,Laptop,Beginner,<50k,Social Media,North Central,North Central,Moderate
LRN0010897,Male,25-34,Bayelsa,Plateau,Secondary School,Student,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South South,North Central,Good
LRN0010898,Male,18-24,Jigawa,Ondo,Graduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Referral,North West,South West,Moderate
LRN0010899,Male,18-24,Abia,Edo,Graduate,Employed,Yes,Mobile Phone,Intermediate,50k-100k,Partner Organisation,South East,South South,Poor
LRN0010900,Male,18-24,FCT,Abia,OND/ND,Employed,Yes,Mobile Phone,Intermediate,<50k,Social Media,North Central,South East,Good
LRN0010901,Female,18-24,Anambra,Lagos,Undergraduate,Student,Yes,Laptop,Intermediate,<50k,Campus Outreach,South East,South West,Good
LRN0010902,Female,18-24,Oyo,Imo,Postgraduate,Employed,Yes,Mobile Phone,Intermediate,<50k,Referral,South West,South East,Poor
LRN0010903,Female,35-44,Delta,Kaduna,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Social Media,South South,North West,Good
LRN0010904,Female,25-34,Kano,Kogi,OND/ND,Unemployed,Yes,Mobile Phone,Advanced,<50k,Email Campaign,North West,North Central,Moderate
LRN0010905,Male,18-24,Bauchi,Edo,Undergraduate,Self-Employed,Yes,Laptop,Intermediate,<50k,Social Media,North East,South South,Moderate
LRN0010906,Male,25-34,Plateau,Rivers,Graduate,Employed,Yes,Mobile Phone,Beginner,<50k,Social Media,North Central,South South,Moderate
LRN0010907,Male,25-34,Benue,Abia,Undergraduate,Self-Employed,No,Mobile Phone,Beginner,<50k,Community Outreach,North Central,South East,Good
LRN0010908,Female,18-24,Ebonyi,FCT,OND/ND,Student,Yes,Laptop,Intermediate,<50k,Social Media,South East,North Central,Good
LRN0010909,Male,18-24,Osun,Kaduna,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Referral,South West,North West,Poor
LRN0010910,Male,18-24,Lagos,Plateau,Graduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South West,North Central,Moderate
LRN0010911,Female,18-24,Edo,Ogun,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Referral,South South,South West,Good
LRN0010912,Male,18-24,Jigawa,Plateau,OND/ND,Employed,Yes,Laptop,Beginner,<50k,Partner Organisation,North West,North Central,Good
LRN0010913,Female,18-24,Rivers,Ebonyi,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Partner Organisation,South South,South East,Moderate
LRN0010914,Female,18-24,Delta,Rivers,Undergraduate,Employed,No,Mobile Phone,Beginner,<50k,Social Media,South South,South South,Moderate
LRN0010915,Male,18-24,Oyo,Lagos,Undergraduate,Student,No,Mobile Phone,Beginner,<50k,Referral,South West,South West,Moderate
LRN0010916,Male,18-24,Katsina,Lagos,OND/ND,Unemployed,Yes,Laptop,Intermediate,<50k,Email Campaign,North West,South West,Good
LRN0010917,Male,18-24,Rivers,Kano,Secondary School,Student,Yes,Mobile Phone,Beginner,<50k,Email Campaign,South South,North West,Moderate
LRN0010918,Female,18-24,Kano,Adamawa,OND/ND,Student,Yes,Mobile Phone,Intermediate,50k-100k,Referral,North West,North East,Poor
LRN0010919,Male,18-24,Abia,Sokoto,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Social Media,South East,North West,Moderate
LRN0010920,Female,25-34,Yobe,Sokoto,Graduate,Self-Employed,Yes,Tablet,Advanced,50k-100k,Social Media,North East,North West,Poor
LRN0010921,Female,18-24,Adamawa,Osun,Graduate,Unemployed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,North East,South West,Good
LRN0010922,Male,18-24,Akwa Ibom,Delta,Undergraduate,Student,Yes,Desktop,Beginner,<50k,Social Media,South South,South South,Poor
LRN0010923,Male,25-34,FCT,FCT,Secondary School,Unemployed,Yes,Laptop,Beginner,<50k,Community Outreach,North Central,North Central,Moderate
LRN0010924,Female,18-24,Bayelsa,Imo,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Social Media,South South,South East,Moderate
LRN0010925,Male,18-24,Rivers,Lagos,Secondary School,Unemployed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South South,South West,Poor
LRN0010926,Female,18-24,Lagos,Rivers,Graduate,Student,Yes,Mobile Phone,Beginner,<50k,Referral,South West,South South,Moderate
LRN0010927,Male,25-34,Katsina,Plateau,Undergraduate,Self-Employed,Yes,Mobile Phone,Beginner,<50k,Social Media,North West,North Central,Poor
LRN0010928,Female,35-44,Rivers,FCT,OND/ND,Student,Yes,Laptop,Intermediate,<50k,Social Media,South South,North Central,Poor
LRN0010929,Female,18-24,Anambra,Osun,Undergraduate,Unemployed,Yes,Laptop,Intermediate,100k-250k,Referral,South East,South West,Good
LRN0010930,Female,18-24,Ogun,Rivers,Undergraduate,Employed,Yes,Mobile Phone,Advanced,50k-100k,Referral,South West,South South,Good
LRN0010931,Male,25-34,Lagos,Adamawa,OND/ND,Student,Yes,Laptop,Beginner,<50k,Social Media,South West,North East,Moderate
LRN0010932,Male,18-24,Jigawa,Bayelsa,Graduate,Self-Employed,Yes,Desktop,Beginner,50k-100k,Partner Organisation,North West,South South,Moderate
LRN0010933,Female,35-44,Delta,Oyo,Postgraduate,Unemployed,Yes,Mobile Phone,Intermediate,100k-250k,Referral,South South,South West,Moderate
LRN0010934,Male,18-24,Rivers,Imo,OND/ND,Employed,Yes,Mobile Phone,Beginner,100k-250k,Social Media,South South,South East,Good
LRN0010935,Male,18-24,Rivers,Anambra,OND/ND,Student,Yes,Laptop,Intermediate,<50k,Campus Outreach,South South,South East,Good
LRN0010936,Female,18-24,Lagos,Bauchi,Secondary School,Student,Yes,Mobile Phone,Intermediate,100k-250k,Community Outreach,South West,North East,Poor
LRN0010937,Male,18-24,Lagos,Kano,Undergraduate,Student,Yes,Mobile Phone,Intermediate,<50k,Community Outreach,South West,North West,Moderate
LRN0010938,Male,18-24,Osun,Anambra,Undergraduate,Unemployed,Yes,Tablet,Advanced,50k-100k,Campus Outreach,South West,South East,Moderate
LRN0010939,Male,25-34,FCT,Akwa Ibom,OND/ND,Employed,Yes,Mobile Phone,Beginner,<50k,Social Media,North Central,South South,Poor
LRN0010940,Female,18-24,Taraba,Kaduna,Graduate,Unemployed,Yes,Mobile Phone,Advanced,50k-100k,Community Outreach,North East,North West,Poor
LRN0010941,Female,18-24,Imo,Abia,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Social Media,South East,South East,Good
LRN0010942,Male,18-24,FCT,Kano,Undergraduate,Unemployed,No,Laptop,Intermediate,50k-100k,Partner Organisation,North Central,North West,Moderate
LRN0010943,Male,25-34,Rivers,Ebonyi,Undergraduate,Student,Yes,Desktop,Intermediate,50k-100k,Community Outreach,South South,South East,Poor
LRN0010944,Male,18-24,Kano,Kogi,Undergraduate,Student,Yes,Mobile Phone,Beginner,250k+,Email Campaign,North West,North Central,Good
LRN0010945,Female,18-24,Niger,Lagos,Undergraduate,Student,Yes,Mobile Phone,Intermediate,<50k,Social Media,North Central,South West,Good
LRN0010946,Male,18-24,Kano,Ebonyi,Graduate,Unemployed,Yes,Mobile Phone,Beginner,100k-250k,Referral,North West,South East,Moderate
LRN0010947,Female,18-24,Katsina,FCT,Secondary School,Employed,Yes,Laptop,Beginner,50k-100k,Referral,North West,North Central,Poor
LRN0010948,Male,35-44,Lagos,Lagos,Secondary School,Self-Employed,Yes,Laptop,Beginner,<50k,Email Campaign,South West,South West,Moderate
LRN0010949,Female,18-24,Edo,Lagos,Postgraduate,Student,Yes,Tablet,Beginner,100k-250k,Social Media,South South,South West,Good
LRN0010950,Male,18-24,Lagos,Lagos,Graduate,Unemployed,Yes,Laptop,Beginner,<50k,Social Media,South West,South West,Poor
LRN0010951,Female,35-44,Ogun,Adamawa,Undergraduate,Employed,Yes,Mobile Phone,Intermediate,50k-100k,Partner Organisation,South West,North East,Good
LRN0010952,Male,18-24,Delta,Benue,Undergraduate,Employed,Yes,Mobile Phone,Beginner,<50k,Community Outreach,South South,North Central,Poor
LRN0010953,Male,25-34,Bauchi,Oyo,Graduate,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Referral,North East,South West,Good
LRN0010954,Female,25-34,Lagos,Kano,Secondary School,Student,Yes,Laptop,Beginner,100k-250k,Community Outreach,South West,North West,Good
LRN0010955,Female,18-24,Anambra,Kaduna,Undergraduate,Employed,Yes,Tablet,Beginner,<50k,Partner Organisation,South East,North West,Good
LRN0010956,Male,18-24,Jigawa,Oyo,Graduate,Unemployed,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,North West,South West,Good
LRN0010957,Female,25-34,Imo,Abia,Undergraduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South East,South East,Poor
LRN0010958,Female,18-24,Kaduna,Lagos,Undergraduate,Student,No,Mobile Phone,Advanced,100k-250k,Campus Outreach,North West,South West,Good
LRN0010959,Female,18-24,Borno,Lagos,Undergraduate,Self-Employed,Yes,Laptop,Intermediate,<50k,Social Media,North East,South West,Moderate
LRN0010960,Male,18-24,Kano,Rivers,Postgraduate,Self-Employed,Yes,Desktop,Beginner,50k-100k,Referral,North West,South South,Moderate
LRN0010961,Female,18-24,Jigawa,Kogi,Graduate,Student,Yes,Laptop,Intermediate,<50k,Social Media,North West,North Central,Good
LRN0010962,Male,18-24,Lagos,Ebonyi,Postgraduate,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Social Media,South West,South East,Moderate
LRN0010963,Male,18-24,FCT,Lagos,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Social Media,North Central,South West,Moderate
LRN0010964,Female,18-24,Enugu,Lagos,Undergraduate,Unemployed,Yes,Laptop,Beginner,50k-100k,Referral,South East,South West,Good
LRN0010965,Male,18-24,Lagos,Oyo,Undergraduate,Unemployed,Yes,Laptop,Beginner,250k+,Social Media,South West,South West,Moderate
LRN0010966,Male,18-24,Benue,Rivers,Undergraduate,Student,Yes,Mobile Phone,Intermediate,<50k,Community Outreach,North Central,South South,Moderate
LRN0010967,Female,18-24,Bauchi,Ogun,Undergraduate,Self-Employed,Yes,Mobile Phone,Beginner,100k-250k,Referral,North East,South West,Good
LRN0010968,Female,18-24,Kaduna,Ondo,Secondary School,Student,Yes,Laptop,Beginner,<50k,Social Media,North West,South West,Good
LRN0010969,Male,18-24,Niger,Ogun,Undergraduate,Self-Employed,Yes,Mobile Phone,Beginner,100k-250k,Social Media,North Central,South West,Poor
LRN0010970,Male,18-24,Osun,FCT,OND/ND,Student,Yes,Laptop,Advanced,100k-250k,Referral,South West,North Central,Good
LRN0010971,Female,18-24,Kaduna,Bayelsa,Undergraduate,Unemployed,Yes,Laptop,Advanced,<50k,Referral,North West,South South,Good
LRN0010972,Male,18-24,Anambra,Kano,Undergraduate,Self-Employed,Yes,Laptop,Intermediate,<50k,Email Campaign,South East,North West,Moderate
LRN0010973,Female,25-34,Lagos,Delta,OND/ND,Student,No,Mobile Phone,Advanced,<50k,Social Media,South West,South South,Moderate
LRN0010974,Female,18-24,Kano,Anambra,Graduate,Employed,Yes,Mobile Phone,Beginner,<50k,Referral,North West,South East,Moderate
LRN0010975,Male,18-24,Kaduna,Kaduna,Postgraduate,Student,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,North West,North West,Poor
LRN0010976,Female,35-44,Lagos,Lagos,Undergraduate,Student,Yes,Desktop,Beginner,100k-250k,Social Media,South West,South West,Moderate
LRN0010977,Female,18-24,Osun,Rivers,Graduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South West,South South,Moderate
LRN0010978,Male,18-24,Delta,Bauchi,Graduate,Self-Employed,Yes,Laptop,Advanced,<50k,Referral,South South,North East,Poor
LRN0010979,Female,25-34,Osun,Benue,Graduate,Student,Yes,Laptop,Beginner,50k-100k,Campus Outreach,South West,North Central,Moderate
LRN0010980,Female,18-24,Kano,Borno,Graduate,Student,Yes,Tablet,Intermediate,50k-100k,Community Outreach,North West,North East,Moderate
LRN0010981,Female,35-44,Abia,Lagos,Secondary School,Student,Yes,Laptop,Intermediate,<50k,Partner Organisation,South East,South West,Good
LRN0010982,Female,18-24,Edo,Kaduna,OND/ND,Employed,Yes,Laptop,Beginner,50k-100k,Partner Organisation,South South,North West,Good
LRN0010983,Male,25-34,Enugu,Rivers,Undergraduate,Unemployed,Yes,Laptop,Intermediate,<50k,Referral,South East,South South,Good
LRN0010984,Male,18-24,Bauchi,Benue,Undergraduate,Employed,Yes,Laptop,Intermediate,100k-250k,Social Media,North East,North Central,Good
LRN0010985,Male,35-44,Oyo,Kaduna,Graduate,Unemployed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South West,North West,Moderate
LRN0010986,Male,25-34,Osun,Osun,Secondary School,Self-Employed,Yes,Laptop,Beginner,<50k,Email Campaign,South West,South West,Good
LRN0010987,Male,18-24,Abia,Lagos,Secondary School,Student,Yes,Mobile Phone,Advanced,<50k,Social Media,South East,South West,Poor
LRN0010988,Female,25-34,Taraba,Katsina,OND/ND,Employed,Yes,Laptop,Intermediate,<50k,Community Outreach,North East,North West,Moderate
LRN0010989,Female,18-24,Sokoto,Borno,Graduate,Student,Yes,Laptop,Beginner,<50k,Referral,North West,North East,Good
LRN0010990,Female,25-34,FCT,Delta,Undergraduate,Unemployed,Yes,Desktop,Beginner,100k-250k,Social Media,North Central,South South,Moderate
LRN0010991,Female,25-34,Sokoto,Enugu,Secondary School,Student,Yes,Mobile Phone,Beginner,<50k,Social Media,North West,South East,Good
LRN0010992,Female,25-34,Lagos,Sokoto,Graduate,Employed,Yes,Laptop,Beginner,50k-100k,Community Outreach,South West,North West,Good
LRN0010993,Male,18-24,Delta,Kaduna,OND/ND,Student,Yes,Laptop,Advanced,50k-100k,Email Campaign,South South,North West,Moderate
LRN0010994,Female,35-44,Abia,Kano,OND/ND,Student,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,South East,North West,Moderate
LRN0010995,Male,25-34,Lagos,Rivers,Undergraduate,Student,Yes,Desktop,Intermediate,50k-100k,Social Media,South West,South South,Moderate
LRN0010996,Female,18-24,Bayelsa,Oyo,Graduate,Student,No,Mobile Phone,Beginner,50k-100k,Referral,South South,South West,Good
LRN0010997,Female,18-24,Osun,Anambra,OND/ND,Employed,Yes,Laptop,Intermediate,<50k,Campus Outreach,South West,South East,Good
LRN0010998,Male,25-34,Kano,Ebonyi,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,North West,South East,Good
LRN0010999,Female,25-34,Lagos,Jigawa,Undergraduate,Employed,Yes,Laptop,Beginner,100k-250k,Campus Outreach,South West,North West,Poor
LRN0011000,Female,25-34,FCT,Lagos,Secondary School,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Community Outreach,North Central,South West,Good
LRN0011001,Male,18-24,Kaduna,Osun,Undergraduate,Employed,Yes,Mobile Phone,Beginner,<50k,Community Outreach,North West,South West,Good
LRN0011002,Female,18-24,Akwa Ibom,Ondo,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Campus Outreach,South South,South West,Moderate
LRN0011003,Male,25-34,Oyo,Ebonyi,OND/ND,Student,Yes,Laptop,Beginner,50k-100k,Community Outreach,South West,South East,Poor
LRN0011004,Male,18-24,Kano,Enugu,OND/ND,Employed,Yes,Mobile Phone,Beginner,50k-100k,Email Campaign,North West,South East,Poor
LRN0011005,Female,18-24,Benue,Katsina,Secondary School,Self-Employed,Yes,Laptop,Beginner,<50k,Campus Outreach,North Central,North West,Moderate
LRN0011006,Female,25-34,Benue,Plateau,OND/ND,Self-Employed,Yes,Laptop,Beginner,50k-100k,Referral,North Central,North Central,Good
LRN0011007,Female,18-24,Oyo,Kano,Undergraduate,Student,Yes,Mobile Phone,Intermediate,250k+,Referral,South West,North West,Good
LRN0011008,Female,18-24,Taraba,Plateau,Graduate,Student,Yes,Desktop,Beginner,50k-100k,Referral,North East,North Central,Poor
LRN0011009,Male,18-24,Delta,Kano,Graduate,Student,Yes,Laptop,Beginner,<50k,Referral,South South,North West,Moderate
LRN0011010,Male,18-24,Rivers,Kaduna,Graduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Community Outreach,South South,North West,Moderate
LRN0011011,Female,25-34,Akwa Ibom,Abia,Secondary School,Employed,Yes,Tablet,Beginner,<50k,Email Campaign,South South,South East,Good
LRN0011012,Female,25-34,Enugu,Imo,Graduate,Student,Yes,Mobile Phone,Intermediate,100k-250k,Social Media,South East,South East,Moderate
LRN0011013,Male,25-34,Kaduna,Ogun,Undergraduate,Unemployed,Yes,Laptop,Beginner,<50k,Referral,North West,South West,Moderate
LRN0011014,Female,18-24,Ebonyi,Imo,Undergraduate,Student,Yes,Tablet,Intermediate,50k-100k,Referral,South East,South East,Moderate
LRN0011015,Female,25-34,Ogun,FCT,Undergraduate,Self-Employed,Yes,Laptop,Intermediate,<50k,Community Outreach,South West,North Central,Poor
LRN0011016,Female,25-34,Rivers,Ebonyi,Undergraduate,Student,Yes,Mobile Phone,Intermediate,100k-250k,Social Media,South South,South East,Poor
LRN0011017,Female,35-44,Sokoto,Enugu,Undergraduate,Student,Yes,Laptop,Intermediate,<50k,Partner Organisation,North West,South East,Good
LRN0011018,Male,35-44,Ondo,Adamawa,Graduate,Employed,Yes,Laptop,Beginner,<50k,Community Outreach,South West,North East,Moderate
LRN0011019,Female,18-24,Katsina,Lagos,Undergraduate,Self-Employed,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,North West,South West,Good
LRN0011020,Female,35-44,Jigawa,Oyo,Undergraduate,Self-Employed,Yes,Laptop,Beginner,<50k,Social Media,North West,South West,Good
LRN0011021,Male,18-24,Jigawa,Niger,Undergraduate,Student,No,Mobile Phone,Beginner,<50k,Email Campaign,North West,North Central,Moderate
LRN0011022,Female,18-24,Sokoto,Oyo,Graduate,Employed,Yes,Laptop,Advanced,<50k,Social Media,North West,South West,Poor
LRN0011023,Male,18-24,Rivers,Ebonyi,Undergraduate,Employed,Yes,Laptop,Beginner,50k-100k,Partner Organisation,South South,South East,Moderate
LRN0011024,Male,18-24,Enugu,Kogi,OND/ND,Self-Employed,Yes,Mobile Phone,Intermediate,<50k,Social Media,South East,North Central,Poor
LRN0011025,Female,25-34,Anambra,Katsina,Undergraduate,Student,Yes,Laptop,Beginner,<50k,Social Media,South East,North West,Moderate
LRN0011026,Male,35-44,Adamawa,Enugu,Undergraduate,Employed,Yes,Laptop,Intermediate,100k-250k,Social Media,North East,South East,Good
LRN0011027,Male,18-24,Delta,Lagos,OND/ND,Unemployed,No,Mobile Phone,Beginner,<50k,Community Outreach,South South,South West,Good
LRN0011028,Female,25-34,Adamawa,Osun,Secondary School,Student,Yes,Tablet,Intermediate,<50k,Campus Outreach,North East,South West,Good
LRN0011029,Male,25-34,Plateau,Katsina,Graduate,Unemployed,Yes,Desktop,Beginner,<50k,Campus Outreach,North Central,North West,Moderate
LRN0011030,Male,18-24,Jigawa,Katsina,OND/ND,Unemployed,Yes,Laptop,Beginner,<50k,Campus Outreach,North West,North West,Moderate
LRN0011031,Male,18-24,Katsina,Kaduna,Graduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Community Outreach,North West,North West,Moderate
LRN0011032,Male,25-34,Imo,Abia,Undergraduate,Unemployed,Yes,Laptop,Advanced,<50k,Campus Outreach,South East,South East,Moderate
LRN0011033,Female,25-34,Oyo,Delta,Undergraduate,Employed,No,Laptop,Beginner,100k-250k,Community Outreach,South West,South South,Good
LRN0011034,Female,25-34,Anambra,Kano,Undergraduate,Self-Employed,Yes,Mobile Phone,Advanced,50k-100k,Referral,South East,North West,Moderate
LRN0011035,Female,25-34,Lagos,Adamawa,OND/ND,Unemployed,Yes,Desktop,Beginner,50k-100k,Social Media,South West,North East,Moderate
LRN0011036,Female,18-24,Anambra,Kano,Undergraduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South East,North West,Good
LRN0011037,Male,18-24,Kano,Plateau,Secondary School,Unemployed,Yes,Laptop,Beginner,100k-250k,Social Media,North West,North Central,Moderate
LRN0011038,Female,18-24,Bayelsa,Katsina,Secondary School,Employed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South South,North West,Good
LRN0011039,Female,18-24,Oyo,Jigawa,Secondary School,Employed,Yes,Mobile Phone,Beginner,<50k,Community Outreach,South West,North West,Moderate
LRN0011040,Female,25-34,Katsina,Oyo,Secondary School,Student,Yes,Mobile Phone,Intermediate,<50k,Community Outreach,North West,South West,Good
LRN0011041,Female,25-34,Benue,Lagos,Undergraduate,Student,Yes,Desktop,Intermediate,50k-100k,Partner Organisation,North Central,South West,Moderate
LRN0011042,Female,18-24,Kano,Delta,Secondary School,Unemployed,Yes,Tablet,Intermediate,100k-250k,Email Campaign,North West,South South,Moderate
LRN0011043,Female,18-24,Kaduna,Akwa Ibom,Undergraduate,Employed,Yes,Mobile Phone,Beginner,<50k,Partner Organisation,North West,South South,Good
LRN0011044,Male,25-34,Enugu,Kano,Graduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,South East,North West,Poor
LRN0011045,Female,18-24,Kano,Bayelsa,Undergraduate,Student,Yes,Mobile Phone,Intermediate,<50k,Email Campaign,North West,South South,Moderate
LRN0011046,Male,18-24,Delta,Delta,OND/ND,Unemployed,Yes,Tablet,Beginner,50k-100k,Social Media,South South,South South,Good
LRN0011047,Male,18-24,Kaduna,Yobe,Undergraduate,Employed,Yes,Tablet,Beginner,<50k,Campus Outreach,North West,North East,Poor
LRN0011048,Male,18-24,Edo,Kaduna,Undergraduate,Employed,Yes,Mobile Phone,Intermediate,50k-100k,Partner Organisation,South South,North West,Moderate
LRN0011049,Male,35-44,Kano,Lagos,Secondary School,Unemployed,Yes,Desktop,Beginner,50k-100k,Social Media,North West,South West,Good
LRN0011050,Male,35-44,Anambra,Lagos,Undergraduate,Student,Yes,Tablet,Beginner,50k-100k,Campus Outreach,South East,South West,Good
LRN0011051,Male,18-24,Ondo,Sokoto,Undergraduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Partner Organisation,South West,North West,Moderate
LRN0011052,Female,18-24,Rivers,Anambra,Graduate,Unemployed,Yes,Laptop,Beginner,250k+,Social Media,South South,South East,Moderate
LRN0011053,Female,25-34,Sokoto,Niger,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Social Media,North West,North Central,Poor
LRN0011054,Female,18-24,Ogun,Sokoto,Undergraduate,Employed,No,Laptop,Intermediate,100k-250k,Community Outreach,South West,North West,Moderate
LRN0011055,Male,18-24,Delta,FCT,Graduate,Employed,Yes,Mobile Phone,Intermediate,100k-250k,Partner Organisation,South South,North Central,Good
LRN0011056,Female,18-24,Sokoto,Ondo,Secondary School,Student,Yes,Mobile Phone,Beginner,100k-250k,Referral,North West,South West,Good
LRN0011057,Female,18-24,Lagos,Edo,OND/ND,Employed,Yes,Laptop,Beginner,50k-100k,Email Campaign,South West,South South,Moderate
LRN0011058,Male,18-24,Lagos,Kano,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Referral,South West,North West,Moderate
LRN0011059,Female,25-34,Akwa Ibom,Benue,Graduate,Student,Yes,Mobile Phone,Intermediate,100k-250k,Referral,South South,North Central,Poor
LRN0011060,Female,18-24,Adamawa,FCT,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,100k-250k,Referral,North East,North Central,Moderate
LRN0011061,Male,18-24,Lagos,Edo,Graduate,Employed,Yes,Mobile Phone,Intermediate,<50k,Social Media,South West,South South,Moderate
LRN0011062,Female,25-34,Niger,Kaduna,OND/ND,Unemployed,Yes,Mobile Phone,Beginner,50k-100k,Campus Outreach,North Central,North West,Moderate
LRN0011063,Female,25-34,Kaduna,Lagos,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Referral,North West,South West,Good
LRN0011064,Male,18-24,Lagos,Borno,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Email Campaign,South West,North East,Moderate
LRN0011065,Male,25-34,FCT,Rivers,Undergraduate,Student,Yes,Laptop,Beginner,<50k,Community Outreach,North Central,South South,Poor
LRN0011066,Male,25-34,Lagos,Oyo,Graduate,Unemployed,Yes,Laptop,Beginner,250k+,Social Media,South West,South West,Good
LRN0011067,Male,18-24,Imo,FCT,Graduate,Employed,Yes,Mobile Phone,Advanced,<50k,Campus Outreach,South East,North Central,Good
LRN0011068,Male,35-44,Kano,Katsina,Undergraduate,Unemployed,Yes,Laptop,Intermediate,<50k,Partner Organisation,North West,North West,Moderate
LRN0011069,Female,18-24,Kano,Akwa Ibom,Undergraduate,Self-Employed,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,North West,South South,Poor
LRN0011070,Male,18-24,Ondo,Bayelsa,Secondary School,Student,Yes,Mobile Phone,Beginner,<50k,Referral,South West,South South,Poor
LRN0011071,Female,18-24,Rivers,Katsina,Undergraduate,Unemployed,Yes,Laptop,Beginner,100k-250k,Community Outreach,South South,North West,Moderate
LRN0011072,Male,18-24,Benue,Lagos,Undergraduate,Student,Yes,Laptop,Advanced,50k-100k,Referral,North Central,South West,Poor
LRN0011073,Male,18-24,Edo,Bauchi,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,50k-100k,Referral,South South,North East,Moderate
LRN0011074,Male,25-34,Abia,Borno,Undergraduate,Employed,Yes,Laptop,Beginner,50k-100k,Partner Organisation,South East,North East,Moderate
LRN0011075,Female,18-24,Enugu,Bayelsa,Secondary School,Employed,Yes,Mobile Phone,Beginner,100k-250k,Referral,South East,South South,Poor
LRN0011076,Male,35-44,Ogun,Jigawa,Secondary School,Unemployed,Yes,Mobile Phone,Advanced,<50k,Social Media,South West,North West,Moderate
LRN0011077,Male,25-34,Bayelsa,Kaduna,Graduate,Self-Employed,Yes,Desktop,Beginner,100k-250k,Partner Organisation,South South,North West,Poor
LRN0011078,Male,35-44,Lagos,Katsina,OND/ND,Self-Employed,Yes,Desktop,Beginner,<50k,Social Media,South West,North West,Moderate
LRN0011079,Female,18-24,Ogun,Kogi,Undergraduate,Self-Employed,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,South West,North Central,Moderate
LRN0011080,Female,18-24,FCT,Enugu,Undergraduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Campus Outreach,North Central,South East,Moderate
LRN0011081,Male,18-24,Borno,Enugu,Undergraduate,Student,Yes,Laptop,Beginner,<50k,Social Media,North East,South East,Moderate
LRN0011082,Male,25-34,Lagos,Benue,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Email Campaign,South West,North Central,Moderate
