programme_id,programme_name,programme_type,provider,start_date,end_date,duration_days,participants_target
PRG00312,Cloud Computing,Core Programme,TalentQL,2025-11-12,2026-01-07,56,1094
PRG00313,Cloud Computing,Core Programme,AltSchool,2024-10-21,2024-12-06,46,1191
PRG00314,Freelancing,Masterclass,AltSchool,2025-08-14,2025-08-19,5,1348
PRG00315,Programme Orientation,Orientation,Utiva,2025-05-08,2025-05-09,1,6379
PRG00316,CV Writing,Masterclass,TalentQL,2024-04-27,2024-05-02,5,3511
PRG00317,Freelancing,Masterclass,TalentQL,2025-03-15,2025-03-22,7,2352
PRG00318,Career Readiness,Masterclass,DataCamp Africa,2025-09-15,2025-09-22,7,715
PRG00319,AI Engineering,Core Programme,Ingressive,2024-07-03,2024-08-25,53,229
PRG00320,Remote Work Essentials,Masterclass,Tech4Dev,2024-12-25,2024-12-30,5,3283
PRG00321,LinkedIn Optimisation,Masterclass,Utiva,2024-03-12,2024-03-16,4,3783
PRG00322,Digital Marketing,Core Programme,Utiva,2025-06-27,2025-08-11,45,293
PRG00323,Cloud Computing,Core Programme,Utiva,2024-12-15,2025-02-11,58,664
PRG00324,Cybersecurity,Core Programme,TalentQL,2024-11-28,2025-01-21,54,938
PRG00325,Mentor Introduction,Orientation,Utiva,2024-06-08,2024-06-09,1,1430
PRG00326,Career Readiness,Masterclass,Decagon,2024-10-05,2024-10-08,3,1168
PRG00327,Digital Marketing,Core Programme,Decagon,2025-09-13,2025-11-10,58,697
PRG00328,AI Productivity,Masterclass,Tech4Dev,2025-06-08,2025-06-13,5,2265
PRG00329,Cybersecurity,Core Programme,DataCamp Africa,2024-10-17,2024-12-14,58,313
PRG00330,Remote Work Essentials,Masterclass,DataCamp Africa,2025-06-23,2025-06-30,7,4486
PRG00331,Platform Walkthrough,Orientation,AltSchool,2025-02-08,2025-02-09,1,2806
PRG00332,CV Writing,Masterclass,Utiva,2024-11-04,2024-11-07,3,2174
PRG00333,LinkedIn Optimisation,Masterclass,Tech4Dev,2024-12-01,2024-12-06,5,2871
PRG00334,Programme Orientation,Orientation,Utiva,2025-03-16,2025-03-18,2,7119
PRG00335,Web Development,Core Programme,Utiva,2025-12-21,2026-02-16,57,745
PRG00336,Career Readiness,Masterclass,Decagon,2024-03-14,2024-03-21,7,3401
PRG00337,Mentor Introduction,Orientation,Decagon,2024-01-20,2024-01-21,1,4573
PRG00338,Data Analytics,Core Programme,AltSchool,2025-03-15,2025-05-09,55,789
PRG00339,Cloud Computing,Core Programme,Decagon,2024-04-27,2024-06-24,58,496
PRG00340,Programme Orientation,Orientation,Decagon,2025-09-24,2025-09-26,2,2407
PRG00341,Mentor Introduction,Orientation,TalentQL,2025-03-23,2025-03-25,2,1721
PRG00342,Data Analytics,Core Programme,Decagon,2025-08-26,2025-10-17,52,646
PRG00343,Product Design,Core Programme,DataCamp Africa,2024-11-13,2024-12-30,47,605
PRG00344,Freelancing,Masterclass,Tech4Dev,2024-06-21,2024-06-25,4,3228
PRG00345,Career Readiness,Masterclass,Utiva,2025-06-06,2025-06-09,3,4846
PRG00346,Freelancing,Masterclass,Tech4Dev,2024-08-29,2024-09-03,5,1709
PRG00347,LinkedIn Optimisation,Masterclass,AltSchool,2024-06-26,2024-07-01,5,2116
PRG00348,Web Development,Core Programme,Decagon,2025-10-05,2025-11-21,47,381
PRG00349,AI Productivity,Masterclass,AltSchool,2025-11-28,2025-12-05,7,4177
PRG00350,Mentor Introduction,Orientation,Utiva,2024-11-19,2024-11-21,2,6138
PRG00351,Cloud Computing,Core Programme,DataCamp Africa,2025-03-28,2025-05-14,47,680
PRG00352,Cybersecurity,Core Programme,Ingressive,2024-02-27,2024-04-20,53,805
PRG00353,Mentor Introduction,Orientation,Decagon,2025-04-17,2025-04-18,1,3542
PRG00354,Programme Orientation,Orientation,Tech4Dev,2024-10-20,2024-10-21,1,4020
PRG00355,Remote Work Essentials,Masterclass,Decagon,2025-01-28,2025-01-31,3,4653
PRG00356,Product Design,Core Programme,DataCamp Africa,2025-08-08,2025-09-23,46,660
PRG00357,LinkedIn Optimisation,Masterclass,Utiva,2025-05-28,2025-06-02,5,4396
PRG00358,Programme Orientation,Orientation,DataCamp Africa,2024-12-17,2024-12-19,2,1847
PRG00359,Data Analytics,Core Programme,DataCamp Africa,2024-09-10,2024-10-30,50,240
PRG00360,AI Productivity,Masterclass,AltSchool,2025-06-19,2025-06-25,6,4793
PRG00361,LinkedIn Optimisation,Masterclass,Decagon,2024-10-16,2024-10-21,5,3554
PRG00362,Cloud Computing,Core Programme,Tech4Dev,2025-09-04,2025-10-29,55,895
PRG00363,AI Engineering,Core Programme,Tech4Dev,2024-12-03,2025-01-27,55,267
PRG00364,Product Design,Core Programme,DataCamp Africa,2024-09-15,2024-11-11,57,490
PRG00365,AI Engineering,Core Programme,AltSchool,2024-03-24,2024-05-12,49,541
PRG00366,Digital Marketing,Core Programme,Ingressive,2024-12-24,2025-02-11,49,1138
PRG00367,Digital Marketing,Core Programme,DataCamp Africa,2025-09-01,2025-10-28,57,332
PRG00368,Programme Orientation,Orientation,DataCamp Africa,2025-01-20,2025-01-22,2,5578
PRG00369,AI Engineering,Core Programme,DataCamp Africa,2024-05-10,2024-07-04,55,1032
PRG00370,Mentor Introduction,Orientation,Decagon,2025-11-17,2025-11-18,1,6292
PRG00371,Career Readiness,Masterclass,Ingressive,2025-01-06,2025-01-11,5,649
PRG00372,Web Development,Core Programme,Utiva,2025-05-12,2025-07-02,51,549
PRG00373,LinkedIn Optimisation,Masterclass,Ingressive,2024-03-20,2024-03-24,4,1769
PRG00374,CV Writing,Masterclass,Tech4Dev,2025-06-23,2025-06-30,7,4921
PRG00375,Digital Marketing,Core Programme,Utiva,2025-09-24,2025-11-18,55,1097
PRG00376,Product Design,Core Programme,Utiva,2024-06-15,2024-08-11,57,357
PRG00377,AI Engineering,Core Programme,Tech4Dev,2025-03-24,2025-05-13,50,938
PRG00378,AI Productivity,Masterclass,AltSchool,2025-03-30,2025-04-04,5,2445
PRG00379,Platform Walkthrough,Orientation,Utiva,2025-06-30,2025-07-02,2,2916
PRG00380,Freelancing,Masterclass,DataCamp Africa,2025-01-11,2025-01-17,6,2089
PRG00381,Career Readiness,Masterclass,TalentQL,2024-10-15,2024-10-21,6,4282
PRG00382,Platform Walkthrough,Orientation,TalentQL,2024-07-23,2024-07-25,2,2327
PRG00383,Product Design,Core Programme,Tech4Dev,2024-09-13,2024-11-01,49,1093
PRG00384,Mentor Introduction,Orientation,Tech4Dev,2025-07-21,2025-07-23,2,4040
PRG00385,Digital Marketing,Core Programme,TalentQL,2024-03-26,2024-05-13,48,491
PRG00386,LinkedIn Optimisation,Masterclass,Utiva,2025-06-09,2025-06-14,5,4180
PRG00387,AI Productivity,Masterclass,Ingressive,2025-04-06,2025-04-09,3,2318
PRG00388,CV Writing,Masterclass,AltSchool,2025-02-09,2025-02-15,6,936
PRG00389,Freelancing,Masterclass,Ingressive,2024-03-24,2024-03-28,4,3663
PRG00390,Web Development,Core Programme,TalentQL,2024-04-11,2024-05-26,45,526
PRG00391,Remote Work Essentials,Masterclass,Tech4Dev,2024-05-20,2024-05-25,5,1696
PRG00392,Platform Walkthrough,Orientation,TalentQL,2024-05-22,2024-05-24,2,6702
PRG00393,Remote Work Essentials,Masterclass,Tech4Dev,2025-09-22,2025-09-28,6,4174
PRG00394,Programme Orientation,Orientation,TalentQL,2024-08-08,2024-08-09,1,3096
PRG00395,LinkedIn Optimisation,Masterclass,Tech4Dev,2025-03-09,2025-03-16,7,4823
PRG00396,AI Engineering,Core Programme,Tech4Dev,2024-11-04,2024-12-28,54,443
PRG00397,Data Analytics,Core Programme,TalentQL,2025-10-16,2025-12-07,52,629
PRG00398,Career Readiness,Masterclass,TalentQL,2024-04-23,2024-04-29,6,1014
PRG00399,AI Productivity,Masterclass,DataCamp Africa,2024-01-17,2024-01-24,7,4891
PRG00400,Career Readiness,Masterclass,Ingressive,2024-05-27,2024-06-03,7,2481
PRG00401,Cloud Computing,Core Programme,Utiva,2024-12-27,2025-02-10,45,829
PRG00402,Product Design,Core Programme,DataCamp Africa,2025-11-11,2026-01-08,58,391
PRG00403,CV Writing,Masterclass,AltSchool,2024-03-10,2024-03-17,7,3454
PRG00404,Career Readiness,Masterclass,Tech4Dev,2025-07-21,2025-07-28,7,4658
PRG00405,Platform Walkthrough,Orientation,Decagon,2025-10-12,2025-10-14,2,1356
PRG00406,Cybersecurity,Core Programme,Ingressive,2024-01-17,2024-03-10,53,965
PRG00407,AI Engineering,Core Programme,DataCamp Africa,2024-09-03,2024-10-20,47,553
PRG00408,Remote Work Essentials,Masterclass,Tech4Dev,2024-05-16,2024-05-19,3,3223
PRG00409,Platform Walkthrough,Orientation,Utiva,2025-10-20,2025-10-22,2,7664
PRG00410,Remote Work Essentials,Masterclass,Utiva,2025-10-08,2025-10-14,6,4420
PRG00411,LinkedIn Optimisation,Masterclass,Ingressive,2024-02-07,2024-02-10,3,4249
PRG00412,Web Development,Core Programme,Tech4Dev,2024-07-23,2024-09-07,46,1010
PRG00413,Platform Walkthrough,Orientation,TalentQL,2025-02-11,2025-02-13,2,5222
PRG00414,Career Readiness,Masterclass,TalentQL,2024-02-07,2024-02-13,6,2575
PRG00415,Mentor Introduction,Orientation,TalentQL,2024-12-31,2025-01-01,1,3343
PRG00416,AI Engineering,Core Programme,Ingressive,2025-11-02,2025-12-18,46,1086
PRG00417,Platform Walkthrough,Orientation,Decagon,2025-01-11,2025-01-12,1,7548
PRG00418,AI Productivity,Masterclass,Utiva,2024-12-13,2024-12-19,6,3667
PRG00419,AI Productivity,Masterclass,Ingressive,2025-06-15,2025-06-21,6,3509
PRG00420,AI Engineering,Core Programme,Tech4Dev,2025-03-10,2025-04-26,47,944
PRG00421,AI Productivity,Masterclass,Ingressive,2025-07-12,2025-07-19,7,1978
PRG00422,Freelancing,Masterclass,DataCamp Africa,2024-12-01,2024-12-04,3,1155
PRG00423,Platform Walkthrough,Orientation,DataCamp Africa,2025-09-09,2025-09-11,2,4652
PRG00424,Cloud Computing,Core Programme,Ingressive,2025-03-30,2025-05-19,50,906
PRG00425,AI Productivity,Masterclass,Decagon,2025-09-21,2025-09-24,3,3388
PRG00426,Cybersecurity,Core Programme,DataCamp Africa,2025-11-18,2026-01-03,46,276
PRG00427,AI Productivity,Masterclass,Utiva,2025-11-26,2025-12-01,5,4703
PRG00428,CV Writing,Masterclass,Utiva,2024-02-05,2024-02-09,4,4089
PRG00429,CV Writing,Masterclass,Decagon,2025-01-05,2025-01-09,4,3500
PRG00430,Product Design,Core Programme,DataCamp Africa,2024-06-06,2024-07-22,46,819
PRG00431,AI Productivity,Masterclass,TalentQL,2025-03-30,2025-04-04,5,3547
PRG00432,CV Writing,Masterclass,Ingressive,2025-06-26,2025-07-03,7,1627
PRG00433,AI Productivity,Masterclass,Tech4Dev,2024-09-12,2024-09-17,5,2783
PRG00434,Data Analytics,Core Programme,Decagon,2025-06-14,2025-08-03,50,711
PRG00435,Career Readiness,Masterclass,DataCamp Africa,2024-09-23,2024-09-26,3,2644
PRG00436,Cloud Computing,Core Programme,DataCamp Africa,2024-10-19,2024-12-09,51,826
PRG00437,AI Productivity,Masterclass,TalentQL,2024-05-18,2024-05-22,4,1504
PRG00438,Programme Orientation,Orientation,Decagon,2025-12-31,2026-01-02,2,2414
PRG00439,Programme Orientation,Orientation,DataCamp Africa,2024-12-21,2024-12-23,2,6470
PRG00440,Data Analytics,Core Programme,TalentQL,2024-11-03,2024-12-27,54,1112
PRG00441,Programme Orientation,Orientation,AltSchool,2025-01-05,2025-01-06,1,7501
PRG00442,LinkedIn Optimisation,Masterclass,Utiva,2024-05-22,2024-05-25,3,2146
PRG00443,AI Productivity,Masterclass,AltSchool,2025-07-21,2025-07-24,3,3456
PRG00444,Cybersecurity,Core Programme,Utiva,2025-07-18,2025-09-15,59,1022
PRG00445,Product Design,Core Programme,Decagon,2024-11-12,2024-12-29,47,267
PRG00446,Digital Marketing,Core Programme,TalentQL,2025-02-24,2025-04-25,60,738
PRG00447,Platform Walkthrough,Orientation,DataCamp Africa,2024-11-20,2024-11-21,1,2026
PRG00448,CV Writing,Masterclass,AltSchool,2025-11-27,2025-12-03,6,4316
PRG00449,Freelancing,Masterclass,Decagon,2024-05-12,2024-05-16,4,1990
